Posted Date,Letter Issue Date,Company Name,Warning Letter URL,Issuing Office,Subject
"<time datetime=""2025-12-23T05:00:00Z"">12/23/2025</time>
","<time datetime=""2025-12-12T05:00:00Z"">12/12/2025</time>
",TITAN SARMS LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/titan-sarms-llc-719645-12122025,Center for Drug Evaluation and Research (CDER),Unapproved New Drugs
"<time datetime=""2025-12-23T05:00:00Z"">12/23/2025</time>
","<time datetime=""2025-12-12T05:00:00Z"">12/12/2025</time>
",Pinnacle Professional Research dba Pinnacle Peptides,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/pinnacle-professional-research-dba-pinnacle-peptides-719337-12122025,Center for Drug Evaluation and Research (CDER),Unapproved New Drugs
"<time datetime=""2025-12-23T05:00:00Z"">12/23/2025</time>
","<time datetime=""2025-12-12T05:00:00Z"">12/12/2025</time>
","Maria A. Carballosa, M.D.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/maria-carballosa-md-720805-12122025,Center for Drug Evaluation and Research (CDER),In Vivo Bioavailability-Bioequivalence Studies – Clinical
"<time datetime=""2025-12-23T05:00:00Z"">12/23/2025</time>
","<time datetime=""2025-12-12T05:00:00Z"">12/12/2025</time>
",Prime Sports Nutrition,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/prime-sports-nutrition-719433-12122025,Center for Drug Evaluation and Research (CDER),Unapproved New Drugs
"<time datetime=""2025-12-23T05:00:00Z"">12/23/2025</time>
","<time datetime=""2025-12-12T05:00:00Z"">12/12/2025</time>
",Atomix LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/atomix-llc-719111-12122025,Center for Drug Evaluation and Research (CDER),Unapproved New Drugs
"<time datetime=""2025-12-23T05:00:00Z"">12/23/2025</time>
","<time datetime=""2025-12-08T05:00:00Z"">12/08/2025</time>
","Darmerica, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/darmerica-llc-716152-12082025,Center for Drug Evaluation and Research (CDER),"CGMP/Active Pharmaceutical Ingredient (API)/Adulterated/Misbranded<br />
"
"<time datetime=""2025-12-18T16:00:00Z"">12/18/2025</time>
","<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
",TG Supply LLC d/b/a TransGuy Supply,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/tg-supply-llc-dba-transguy-supply-720846-12162025,Center for Devices and Radiological Health,Failure to Register and List/Misbranded
"<time datetime=""2025-12-18T16:00:00Z"">12/18/2025</time>
","<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
","ShapeShifter Apparel, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/shapeshifter-apparel-llc-720845-12162025,Center for Devices and Radiological Health,Failure to Register and List/Misbranded
"<time datetime=""2025-12-18T16:00:00Z"">12/18/2025</time>
","<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
",GenderBender LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/genderbender-llc-720842-12162025,Center for Devices and Radiological Health,Failure to Register and List/Misbranded
"<time datetime=""2025-12-18T16:00:00Z"">12/18/2025</time>
","<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
","Marli Washington Design, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/marli-washington-design-llc-720840-12162025,Center for Devices and Radiological Health,Failure to Register and List/Misbranded
"<time datetime=""2025-12-18T16:00:00Z"">12/18/2025</time>
","<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
","TomboyX, PBC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/tomboyx-pbc-720849-12162025,Center for Devices and Radiological Health,Failure to Register and List/Misbranded
"<time datetime=""2025-12-18T16:00:00Z"">12/18/2025</time>
","<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
","FLAVNT Streetwear, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/flavnt-streetwear-llc-720838-12162025,Center for Devices and Radiological Health,Failure to Register and List/Misbranded
"<time datetime=""2025-12-18T16:00:00Z"">12/18/2025</time>
","<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
","Early to Bed, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/early-bed-inc-720822-12162025,Center for Devices and Radiological Health,Failure to Register and List/Misbranded
"<time datetime=""2025-12-18T16:00:00Z"">12/18/2025</time>
","<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
",TOMSCOUT,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/tomscout-720850-12162025,Center for Devices and Radiological Health,Failure to Register and List/Misbranded
"<time datetime=""2025-12-18T16:00:00Z"">12/18/2025</time>
","<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
","For Them, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/them-inc-720839-12162025,Center for Devices and Radiological Health,Failure to Register and List/Misbranded
"<time datetime=""2025-12-18T16:00:00Z"">12/18/2025</time>
","<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
","Philadelphia 7, Inc d/b/a Passional Boutique",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/philadelphia-7-inc-dba-passional-boutique-720843-12162025,Center for Devices and Radiological Health,Failure to Register and List/Misbranded
"<time datetime=""2025-12-18T16:00:00Z"">12/18/2025</time>
","<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
",Flux Lab Pte. Ltd. d/b/a The Fluxion,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/flux-lab-pte-ltd-dba-fluxion-720847-12162025,Center for Devices and Radiological Health,Failure to Register and List/Misbranded
"<time datetime=""2025-12-16T16:00:00Z"">12/16/2025</time>
","<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
",Trans-Missie B.V.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/trans-missie-bv-720852-12162025,Center for Devices and Radiological Health,Failure to Register and List/Misbranded
"<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
","<time datetime=""2025-12-11T05:00:00Z"">12/11/2025</time>
",Upper Limits,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/upper-limits-719675-12112025,Center for Tobacco Products,"Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded<br />
"
"<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
","<time datetime=""2025-12-05T05:00:00Z"">12/05/2025</time>
",giantvapes.com,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/giantvapescom-720366-12052025,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded
"<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
","<time datetime=""2025-11-13T05:00:00Z"">11/13/2025</time>
",Longford Water Company LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/longford-water-company-llc-708114-11132025,Office of Compliance and Enforcement,"Processing &amp; Bottling of Bottled Drinking Water Regulations/Adulterated<br />
"
"<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
","<time datetime=""2025-12-12T05:00:00Z"">12/12/2025</time>
",Musclepower Enterprise Ltd. dba MONSTER KING and GE LABS,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/musclepower-enterprise-ltd-dba-monster-king-and-ge-labs-719339-12122025,Center for Drug Evaluation and Research (CDER),"Unapproved New Drugs/Misbranded <br />
"
"<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
","<time datetime=""2025-12-05T05:00:00Z"">12/05/2025</time>
",relevantvapes.com,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/relevantvapescom-720466-12052025,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded
"<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
","<time datetime=""2025-12-04T05:00:00Z"">12/04/2025</time>
",3D Imaging Drug Design and Development LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/3d-imaging-drug-design-and-development-llc-716213-12042025,Center for Drug Evaluation and Research (CDER),CGMP/Positron Emission Tomography (PET) Drugs/Adulterated
"<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
","<time datetime=""2025-11-28T05:00:00Z"">11/28/2025</time>
",Harbor Marine Product Inc.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/harbor-marine-product-inc-710589-11282025,Office of Compliance and Enforcement,"Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions<br />
<br />
"
"<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
","<time datetime=""2025-12-09T05:00:00Z"">12/09/2025</time>
",Sklar Personal Care Inc.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sklar-personal-care-inc-716656-12092025,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
"<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
","<time datetime=""2025-12-03T05:00:00Z"">12/03/2025</time>
","Microvascular Tissue, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/microvascular-tissue-inc-710860-12032025,Center for Biologics Evaluation and Research (CBER),CGMP/Deviations/Biologics License Application (BLA)
"<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
","<time datetime=""2025-12-03T05:00:00Z"">12/03/2025</time>
",Green Valley Fertility Partners,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/green-valley-fertility-partners-720249-12032025,Center for Biologics Evaluation and Research (CBER),"Deviations/CFR/Regulations for Human Cells, Tissues &amp; Cellular Products (HCT/Ps)"
"<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
","<time datetime=""2025-09-24T04:00:00Z"">09/24/2025</time>
",North Creek Farm,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/north-creek-farm-709020-09242025,Human Foods Program,PHS Act/Shell Egg Regulation/Adulterated
"<time datetime=""2025-12-16T05:00:00Z"">12/16/2025</time>
","<time datetime=""2025-11-17T05:00:00Z"">11/17/2025</time>
","Bedner Growers, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bedner-growers-inc-706726-11172025,Human Foods Program,"Food/Prepared Packed or Held Under Insanitary Conditions/Adulterated<br />
"
"<time datetime=""2025-12-15T05:00:00Z"">12/15/2025</time>
","<time datetime=""2025-12-12T05:00:00Z"">12/12/2025</time>
",Target Corporation,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/target-corporation-720399-12122025,Human Foods Program,Infant Botulism Outbreak
"<time datetime=""2025-12-15T05:00:00Z"">12/15/2025</time>
","<time datetime=""2025-12-12T05:00:00Z"">12/12/2025</time>
",The Albertsons Companies Incorporated,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/albertsons-companies-incorporated-720465-12122025,Human Foods Program,Infant Botulism Outbreak
"<time datetime=""2025-12-15T05:00:00Z"">12/15/2025</time>
","<time datetime=""2025-12-12T05:00:00Z"">12/12/2025</time>
",The Kroger Company,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/kroger-company-720464-12122025,Human Foods Program,Infant Botulism Outbreak
"<time datetime=""2025-12-15T05:00:00Z"">12/15/2025</time>
","<time datetime=""2025-12-12T05:00:00Z"">12/12/2025</time>
","Walmart, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/walmart-inc-720400-12122025,Human Foods Program,Infant Botulism Outbreak
"<time datetime=""2025-12-11T05:00:00Z"">12/11/2025</time>
","<time datetime=""2025-11-20T05:00:00Z"">11/20/2025</time>
","Catalent Indiana, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/catalent-indiana-llc-718189-11202025,Office of Manufacturing Quality,CGMP/Finished Pharmaceuticals/Adulterated
"<time datetime=""2025-12-09T05:00:00Z"">12/09/2025</time>
","<time datetime=""2025-11-12T05:00:00Z"">11/12/2025</time>
",DeVere Manufacturing Inc.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/devere-manufacturing-inc-715846-11122025,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
"<time datetime=""2025-12-09T05:00:00Z"">12/09/2025</time>
","<time datetime=""2025-11-26T05:00:00Z"">11/26/2025</time>
",virginiavapes.com,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/virginiavapescom-720134-11262025,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded
"<time datetime=""2025-12-09T05:00:00Z"">12/09/2025</time>
","<time datetime=""2025-11-24T05:00:00Z"">11/24/2025</time>
","CDL Services, Inc. DBA Technichem",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/cdl-services-inc-dba-technichem-713877-11242025,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated
"<time datetime=""2025-12-09T05:00:00Z"">12/09/2025</time>
","<time datetime=""2025-11-11T05:00:00Z"">11/11/2025</time>
",Envoy Medical Inc.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/envoy-medical-inc-718762-11112025,Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated
